level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	439	574	-1	
2	1	1	0	0	0	0	2	425	504	-1	
3	1	1	1	0	0	0	2	425	53	-1	
4	1	1	1	1	0	0	2	425	12	-1	
5	1	1	1	1	1	0	2	156	11	96	COLLEGE-PORTLAND
5	1	1	1	1	2	167	2	92	11	94	COMMUNITY
5	1	1	1	1	3	388	3	37	11	93	43.55
4	1	1	1	2	0	0	22	425	13	-1	
5	1	1	1	2	1	0	22	60	11	94	ESD-NW
5	1	1	1	2	2	71	22	76	11	94	REGIONAL
5	1	1	1	2	3	389	24	36	11	94	23.69
4	1	1	1	3	0	0	43	425	12	-1	
5	1	1	1	3	1	0	43	121	11	96	SCH-HILLSBORO
5	1	1	1	3	2	381	44	44	11	91	763.04
3	1	1	2	0	0	0	63	425	237	-1	
4	1	1	2	1	0	20	63	405	14	-1	
5	1	1	2	1	1	20	63	86	11	93	EDUCATION
5	1	1	2	1	2	118	63	51	11	93	TAXES:
5	1	1	2	1	3	372	63	53	14	73	$830.28,
4	1	1	2	2	0	0	104	425	12	-1	
5	1	1	2	2	1	0	104	101	11	94	WASHINGTON
5	1	1	2	2	2	113	104	62	11	94	COUNTY
5	1	1	2	2	3	381	105	44	11	95	346.05
4	1	1	2	3	0	0	124	425	13	-1	
5	1	1	2	3	1	0	124	90	11	96	REG-METRO
5	1	1	2	3	2	101	124	65	11	95	SERVICE
5	1	1	2	3	3	178	124	67	11	96	DISTRICT
5	1	1	2	3	4	390	126	35	11	94	14.89
4	1	1	2	4	0	0	138	425	28	-1	
5	1	1	2	4	1	0	138	127	28	95	PORT-PORTLAND
5	1	1	2	4	2	390	146	35	11	95	10.80
4	1	1	2	5	0	0	165	425	12	-1	
5	1	1	2	5	1	0	165	124	11	55	CITY-HILLSBORO
5	1	1	2	5	2	381	166	44	11	93	564.77
4	1	1	2	6	0	0	186	425	12	-1	
5	1	1	2	6	1	0	186	48	11	96	CLEAN
5	1	1	2	6	2	60	186	53	11	96	WATER
5	1	1	2	6	3	124	186	74	11	96	SERVICES
5	1	1	2	6	4	397	187	28	11	95	0.00
4	1	1	2	7	0	0	206	425	12	-1	
5	1	1	2	7	1	0	206	148	11	95	UR-HILLSBORO-DOT
5	1	1	2	7	2	389	207	36	11	93	55.72
4	1	1	2	8	0	0	226	425	13	-1	
5	1	1	2	8	1	0	226	124	11	94	CITY-HILLSBORO
5	1	1	2	8	2	135	226	81	11	94	LOL-AFTER
5	1	1	2	8	3	380	228	45	11	93	272.69
4	1	1	2	9	0	0	247	425	12	-1	
5	1	1	2	9	1	0	247	145	11	95	REG-METRO-AFTER
5	1	1	2	9	2	157	247	56	11	90	1/1/2013
5	1	1	2	9	3	390	248	35	11	95	15.22
4	1	1	2	10	0	0	267	425	12	-1	
5	1	1	2	10	1	0	267	101	11	96	WASHINGTON
5	1	1	2	10	2	113	267	62	11	96	COUNTY
5	1	1	2	10	3	187	267	27	11	95	LOL
5	1	1	2	10	4	224	267	49	11	96	AFTER
5	1	1	2	10	5	284	267	4	11	91	1
5	1	1	2	10	6	382	268	43	11	77	101.47
4	1	1	2	11	0	0	288	423	12	-1	
5	1	1	2	11	1	0	288	111	11	95	SWC-TUALATIN
5	1	1	2	11	2	390	289	33	11	90	12.71
3	1	1	3	0	0	0	308	425	135	-1	
4	1	1	3	1	0	20	308	405	14	-1	
5	1	1	3	1	1	20	308	70	11	95	GENERAL
5	1	1	3	1	2	101	308	107	11	95	GOVERNMENT
5	1	1	3	1	3	218	308	52	11	96	TAXES:
5	1	1	3	1	4	360	308	65	14	96	$1,394.32
4	1	1	3	2	0	0	349	425	12	-1	
5	1	1	3	2	1	0	349	150	11	96	BOND-WASHINGTON
5	1	1	3	2	2	161	349	63	11	96	COUNTY
5	1	1	3	2	3	234	349	49	11	67	AFTER
5	1	1	3	2	4	390	350	35	11	96	10.96
4	1	1	3	3	0	0	369	425	12	-1	
5	1	1	3	3	1	0	369	133	11	95	BOND-HILLSBORO
5	1	1	3	3	2	144	369	62	11	95	SCHOOL
5	1	1	3	3	3	217	369	48	11	96	AFTER
5	1	1	3	3	4	380	370	45	11	77	204.99
4	1	1	3	4	0	0	390	425	12	-1	
5	1	1	3	4	1	0	390	101	11	94	BOND-METRO
5	1	1	3	4	2	112	390	119	11	94	SERVICE-AFTER
5	1	1	3	4	3	389	391	36	11	93	74.55
4	1	1	3	5	0	0	403	425	28	-1	
5	1	1	3	5	1	0	403	133	28	96	BOND-PCC-AFTER
5	1	1	3	5	2	389	411	36	11	93	63.76
4	1	1	3	6	0	0	422	425	28	-1	
5	1	1	3	6	1	0	422	224	28	96	BOND-SCH-HILLSBORO-AFTER
5	1	1	3	6	2	382	432	43	11	92	144.57
3	1	1	4	0	0	0	451	425	55	-1	
4	1	1	4	1	0	20	451	405	14	-1	
5	1	1	4	1	1	20	451	42	11	96	BOND
5	1	1	4	1	2	72	451	31	11	96	AND
5	1	1	4	1	3	115	451	35	11	91	MISC
5	1	1	4	1	4	161	451	32	11	91	TAX:
5	1	1	4	1	5	372	451	53	14	78	$498.83,
4	1	1	4	2	0	0	492	425	14	-1	
5	1	1	4	2	1	0	492	54	11	96	2019-20
5	1	1	4	2	2	65	492	28	11	96	TAX
5	1	1	4	2	3	104	492	48	14	96	(Before
5	1	1	4	2	4	163	492	62	14	96	Discount)
5	1	1	4	2	5	360	492	65	14	94	$2,723.43
