level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	439	574	-1	
2	1	1	0	0	0	2	2	435	504	-1	
3	1	1	1	0	0	2	2	435	53	-1	
4	1	1	1	1	0	2	2	435	12	-1	
5	1	1	1	1	1	2	2	157	11	94	COLLEGE-PORTLAND
5	1	1	1	1	2	168	2	92	11	94	COMMUNITY
5	1	1	1	1	3	400	3	37	11	94	45.22
4	1	1	1	2	0	3	22	434	13	-1	
5	1	1	1	2	1	3	22	59	11	96	ESD-NW
5	1	1	1	2	2	72	22	76	11	93	REGIONAL
5	1	1	1	2	3	400	24	37	11	86	24.59
4	1	1	1	3	0	2	43	435	12	-1	
5	1	1	1	3	1	2	43	122	11	26	SCH-HILLSBORO
5	1	1	1	3	2	392	44	45	11	90	792.20
3	1	1	2	0	0	2	63	435	237	-1	
4	1	1	2	1	0	20	63	415	14	-1	
5	1	1	2	1	1	20	63	86	11	96	EDUCATION
5	1	1	2	1	2	116	63	52	11	96	TAXES:
5	1	1	2	1	3	384	63	51	14	96	$862.01
4	1	1	2	2	0	2	104	435	12	-1	
5	1	1	2	2	1	2	104	102	11	96	WASHINGTON
5	1	1	2	2	2	114	104	63	11	96	COUNTY
5	1	1	2	2	3	392	105	45	11	93	359.27
4	1	1	2	3	0	3	124	434	13	-1	
5	1	1	2	3	1	3	124	90	11	96	REG-METRO
5	1	1	2	3	2	103	124	64	11	96	SERVICE
5	1	1	2	3	3	178	124	67	11	96	DISTRICT
5	1	1	2	3	4	401	126	36	11	93	15.46
4	1	1	2	4	0	3	138	432	28	-1	
5	1	1	2	4	1	3	138	126	28	95	PORT-PORTLAND
5	1	1	2	4	2	401	146	34	11	91	11.21
4	1	1	2	5	0	2	158	435	28	-1	
5	1	1	2	5	1	2	158	124	28	96	CITY-HILLSBORO
5	1	1	2	5	2	392	166	45	11	93	586.35
4	1	1	2	6	0	2	186	435	12	-1	
5	1	1	2	6	1	2	186	49	11	96	CLEAN
5	1	1	2	6	2	61	186	53	11	96	WATER
5	1	1	2	6	3	124	186	74	11	96	SERVICES
5	1	1	2	6	4	409	187	28	11	96	0.00
4	1	1	2	7	0	3	199	434	28	-1	
5	1	1	2	7	1	3	199	148	28	96	UR-HILLSBORO-DOT
5	1	1	2	7	2	400	207	37	11	74	57.84
4	1	1	2	8	0	2	226	433	13	-1	
5	1	1	2	8	1	2	226	124	11	95	CITY-HILLSBORO
5	1	1	2	8	2	136	226	81	11	95	LOL-AFTER
5	1	1	2	8	3	392	228	43	11	91	283.11
4	1	1	2	9	0	3	247	434	12	-1	
5	1	1	2	9	1	3	247	144	11	96	REG-METRO-AFTER
5	1	1	2	9	2	158	247	56	11	82	1/1/2013
5	1	1	2	9	3	401	248	36	11	93	15.80
4	1	1	2	10	0	2	267	435	12	-1	
5	1	1	2	10	1	2	267	102	11	96	WASHINGTON
5	1	1	2	10	2	114	267	63	11	96	COUNTY
5	1	1	2	10	3	186	267	27	11	96	LOL
5	1	1	2	10	4	223	267	48	11	96	AFTER
5	1	1	2	10	5	282	267	4	11	94	1
5	1	1	2	10	6	393	268	44	11	94	105.34
4	1	1	2	11	0	2	280	435	28	-1	
5	1	1	2	11	1	2	280	111	28	95	SWC-TUALATIN
5	1	1	2	11	2	401	289	36	11	93	13.20
3	1	1	3	0	0	3	308	434	135	-1	
4	1	1	3	1	0	20	308	417	14	-1	
5	1	1	3	1	1	20	308	70	11	95	GENERAL
5	1	1	3	1	2	100	308	106	11	95	GOVERNMENT
5	1	1	3	1	3	216	308	48	11	90	TAXES:
5	1	1	3	1	4	371	308	66	14	93	$1,447.58
4	1	1	3	2	0	3	349	434	12	-1	
5	1	1	3	2	1	3	349	149	11	96	BOND-WASHINGTON
5	1	1	3	2	2	163	349	62	11	96	COUNTY
5	1	1	3	2	3	234	349	49	11	73	AFTER
5	1	1	3	2	4	401	350	36	11	93	11.37
4	1	1	3	3	0	3	369	434	12	-1	
5	1	1	3	3	1	3	369	132	11	96	BOND-HILLSBORO
5	1	1	3	3	2	145	369	62	11	96	SCHOOL
5	1	1	3	3	3	217	369	48	11	96	AFTER
5	1	1	3	3	4	392	370	45	11	95	212.83
4	1	1	3	4	0	3	390	434	12	-1	
5	1	1	3	4	1	3	390	101	11	96	BOND-METRO
5	1	1	3	4	2	113	390	119	11	96	SERVICE-AFTER
5	1	1	3	4	3	401	391	36	11	94	77.39
4	1	1	3	5	0	3	403	434	28	-1	
5	1	1	3	5	1	3	403	132	28	96	BOND-PCC-AFTER
5	1	1	3	5	2	400	411	37	11	95	66.20
4	1	1	3	6	0	3	422	434	28	-1	
5	1	1	3	6	1	3	422	223	28	96	BOND-SCH-HILLSBORO-AFTER
5	1	1	3	6	2	393	432	44	11	96	150.10
3	1	1	4	0	0	2	451	435	55	-1	
4	1	1	4	1	0	20	451	417	14	-1	
5	1	1	4	1	1	20	451	42	11	96	BOND
5	1	1	4	1	2	71	451	31	11	96	AND
5	1	1	4	1	3	112	451	36	11	92	MISC
5	1	1	4	1	4	157	451	32	11	92	TAX:
5	1	1	4	1	5	384	451	53	14	96	$517.89
4	1	1	4	2	0	2	492	435	14	-1	
5	1	1	4	2	1	2	492	54	11	96	2019-20
5	1	1	4	2	2	66	492	28	11	96	TAX
5	1	1	4	2	3	104	492	48	14	96	(Before
5	1	1	4	2	4	162	492	62	14	96	Discount)
5	1	1	4	2	5	371	492	66	14	94	$2,827.48
