"" "tlid" "prop_account_id" "prop_class" "code_area" "mrkt_land_val" "mrkt_bld_val" "mrkt_special_val" "mrkt_tot_val" "assessed_val" "legal_desc" "address" "lot_size" "taxes_2018" "taxes_2019"
0 "1N231BB02800" "R2011435" "1010" "007.01" 167670 199960 0 367630 235150 "GLENCOE ESTATES Lot:4  " "125 NE TIFFANY ST. HILLSBORO OR, 97124" 0.17 3866.82 4039.41
1 "1N231BB02900" "R2011436" "1010" "007.01" 167670 175230 0 342900 217730 "GLENCOE ESTATES Lot:5  " "120 NE TIFFANY ST. HILLSBORO OR, 97124" 0.17 3580.24 3740.17
2 "1N231BB03000" "R2011437" "1010" "007.01" 176500 235100 0 411600 258590 "GLENCOE ESTATES Lot:6  " "140 NE TIFFANY ST. HILLSBORO OR, 97124" 0.17 4252.13 4442.05
3 "1N231BB03100" "R2011438" "1010" "007.01" 176500 266100 0 442600 274610 "GLENCOE ESTATES Lot:7  " "160 NE TIFFANY ST. HILLSBORO OR, 97124" 0.17 4515.68 5438.91
4 "1N231BB03200" "R2011439" "1010" "007.01" 176500 197600 0 374100 242900 "GLENCOE ESTATES Lot:8  " "180 NE TIFFANY ST. HILLSBORO OR, 97124" 0.17 3994.18 4172.53
5 "1N231BB03300" "R2011440" "1010" "007.01" 176500 216900 0 393400 259880 "GLENCOE ESTATES Lot:9  " "910 NE 1ST PL. HILLSBORO OR, 97124" 0.17 4273.46 4464.21
6 "1N231BB03400" "R2011441" "1010" "007.01" 176500 247590 0 424090 297270 "GLENCOE ESTATES Lot:10  " "930 NE 1ST PL. HILLSBORO OR, 97124" 0.17 4888.28 5106.48
7 "1N231BB03500" "R2011442" "1010" "007.01" 176500 223280 0 399780 265300 "GLENCOE ESTATES Lot:11  " "950 NE 1ST PL. HILLSBORO OR, 97124" 0.17 4362.56 4557.32
8 "1N231BB03600" "R2011443" "1010" "007.01" 176500 217260 0 393760 260960 "GLENCOE ESTATES Lot:12  " "970 NE 1ST PL. HILLSBORO OR, 97124" 0.17 4291.09 4482.76
9 "1N231BB03900" "R2017813" "1010" "007.01" 176500 233080 0 409580 259840 "GLENCOE ESTATES NO.2 Lot:13  " "990 NE 1ST PL. HILLSBORO OR, 97124" 0.17 4272.78 4463.52
10 "1N231BB04000" "R2017814" "1010" "007.01" 176500 211060 0 387560 250130 "GLENCOE ESTATES NO.2 Lot:14  " "1010 NE 1ST PL. HILLSBORO OR, 97124" 0.17 4113.08 4296.71
11 "1N231BB04100" "R2017815" "1010" "007.01" 176500 204760 0 381260 254280 "GLENCOE ESTATES NO.2 Lot:15  " "186 NE DEBRA CT. HILLSBORO OR, 97124" 0.17 4181.33 4368.01
12 "1N231BB04200" "R2017816" "1010" "007.01" 176500 231820 0 408320 259260 "GLENCOE ESTATES NO.2 Lot:16  " "158 NE DEBRA CT. HILLSBORO OR, 97124" 0.17 4263.11 4453.55
13 "1N231BB04300" "R2017817" "1010" "007.01" 176500 192130 0 368630 238760 "GLENCOE ESTATES NO.2 Lot:17  " "146 NE DEBRA CT. HILLSBORO OR, 97124" 0.17 3926.11 4101.44
14 "1N231BB04400" "R2017818" "1010" "007.01" 167670 185020 0 352690 202230 "GLENCOE ESTATES NO.2 Lot:18  " "122 NE DEBRA CT. HILLSBORO OR, 97124" 0.17 3325.35 3473.9
15 "1N231BB04500" "R2017819" "1010" "007.01" 167670 177410 0 345080 222290 "GLENCOE ESTATES NO.2 Lot:19  " "121 NE DEBRA CT. HILLSBORO OR, 97124" 0.17 3655.29 3818.5
16 "1N231BB04600" "R2017820" "1010" "007.01" 176500 194810 0 371310 239060 "GLENCOE ESTATES NO.2 Lot:20  " "147 NE DEBRA CT. HILLSBORO OR, 97124" 0.17 3931.0 4106.58
17 "1N231BB04700" "R2017821" "1010" "007.01" 176500 189760 0 366260 239760 "GLENCOE ESTATES NO.2 Lot:21  " "157 NE DEBRA CT. HILLSBORO OR, 97124" 0.17 3942.53 4118.61
18 "1N231BB04800" "R2017822" "1010" "007.01" 176500 208300 0 384800 246230 "GLENCOE ESTATES NO.2 Lot:22  " "183 NE DEBRA CT. HILLSBORO OR, 97124" 0.17 4048.87 4229.76
19 "1N231BB04900" "R2025432" "1010" "007.01" 159000 176210 0 335210 217400 "GLENCOE WEST Lot:1, 5  " "124 NW TIFFANY LN. HILLSBORO OR, 97124" 0.15 3574.81 3734.49
