"" "tlid" "prop_account_id" "prop_class" "code_area" "mrkt_land_val" "mrkt_bld_val" "mrkt_special_val" "mrkt_tot_val" "assessed_val" "legal_desc" "address" "lot_size" "taxes_2018" "taxes_2019"
0 "1N236DD75151" "R2174521" "1020" "051.69" 0 270670 0 270670 164040 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:51-5 51 " "10759 NE GATEWAY PL. BEAVERTON OR, 97006" "" 2837.93 2937.26
1 "1N236DD75161" "R2174522" "1020" "051.69" 0 289470 0 289470 199610 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:51-6 51 " "10755 NE GATEWAY PL. BEAVERTON OR, 97006" "" 3453.2 3574.15
2 "1N236DD75211" "R2177753" "1020" "051.69" 0 290610 0 290610 194400 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:52-1 52 " "10751 NE GATEWAY PL. BEAVERTON OR, 97006" "" 3363.04 3480.86
3 "1N236DD75221" "R2177754" "1020" "051.69" 0 266970 0 266970 160750 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:52-2 52 " "10749 NE GATEWAY PL. BEAVERTON OR, 97006" "" 2780.94 2878.33
4 "1N236DD75231" "R2177755" "1020" "051.69" 0 290610 0 290610 194400 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:52-3 52 " "10745 NE GATEWAY PL. BEAVERTON OR, 97006" "" 3363.04 3480.86
5 "1N236DD75311" "R2177756" "1020" "051.69" 0 290610 0 290610 194400 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:53-1 53 " "10743 NE GATEWAY PL. BEAVERTON OR, 97006" "" 3363.04 3480.86
6 "1N236DD75321" "R2177757" "1020" "051.69" 0 266970 0 266970 160750 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:53-2 53 " "10739 NE GATEWAY PL. BEAVERTON OR, 97006" "" 2780.94 2878.33
7 "1N236DD75331" "R2177758" "1020" "051.69" 0 290610 0 290610 194400 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.5: ANNEXATION OF STAGE 6 Lot:53-3 53 " "10737 NE GATEWAY PL. BEAVERTON OR, 97006" "" 3363.04 3480.86
8 "1N236DD75411" "R2177175" "1020" "051.69" 0 289470 0 289470 199610 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.4: ANNEXATION OF STAGE 5 Lot:54-1 54 " "10733 NE GATEWAY PL. BEAVERTON OR, 97006" "" 3453.2 3574.15
9 "1N236DD75421" "R2177176" "1020" "051.69" 0 270670 0 270670 161060 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.4: ANNEXATION OF STAGE 5 Lot:54-2 54 " "10731 NE GATEWAY PL. BEAVERTON OR, 97006" "" 2786.26 2883.88
10 "1N236DD75431" "R2177177" "1020" "051.69" 0 289470 0 289470 199610 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.4: ANNEXATION OF STAGE 5 Lot:54-3 54 " "10727 NE GATEWAY PL. BEAVERTON OR, 97006" "" 3453.2 3574.15
11 "1N236DD75511" "R2175135" "1020" "051.69" 0 294050 0 294050 202870 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:55-1 55 " "10726 NE GATEWAY PL. BEAVERTON OR, 97006" "" 3509.68 3632.55
12 "1N236DD75521" "R2175136" "1020" "051.69" 0 265960 0 265960 161060 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:55-2 55 " "10732 NE GATEWAY PL. BEAVERTON OR, 97006" "" 2786.26 2883.88
13 "1N236DD75531" "R2175137" "1020" "051.69" 0 265960 0 265960 161060 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:55-3 55 " "10734 NE GATEWAY PL. BEAVERTON OR, 97006" "" 2786.26 2883.88
14 "1N236DD75541" "R2175138" "1020" "051.69" 0 289470 0 289470 199610 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:55-4 55 " "10736 NE GATEWAY PL. BEAVERTON OR, 97006" "" 3453.2 3574.15
15 "1N236DD75611" "R2174523" "1020" "051.69" 0 294050 0 294050 202870 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:56-1 56 " "10725 NE GATEWAY PL. BEAVERTON OR, 97006" "" 3509.68 3632.55
16 "1N236DD75621" "R2174524" "1020" "051.69" 0 270670 0 270670 164040 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:56-2 56 " "10721 NE GATEWAY PL. BEAVERTON OR, 97006" "" 2837.93 2937.26
17 "1N236DD75631" "R2174525" "1020" "051.69" 0 265960 0 265960 161060 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:56-3 56 " "10719 NE GATEWAY PL. BEAVERTON OR, 97006" "" 2786.26 2883.88
18 "1N236DD75641" "R2174526" "1020" "051.69" 0 270670 0 270670 161060 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:56-4 56 " "10715 NE GATEWAY PL. BEAVERTON OR, 97006" "" 2786.26 2883.88
19 "1N236DD75651" "R2174527" "1020" "051.69" 0 265960 0 265960 161060 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:56-5 56 " "10713 NE GATEWAY PL. BEAVERTON OR, 97006" "" 2786.26 2883.88
20 "1N236DD75661" "R2174528" "1020" "051.69" 0 265960 0 265960 161060 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:56-6 56 " "10709 NE GATEWAY PL. BEAVERTON OR, 97006" "" 2786.26 2883.88
21 "1N236DD75671" "R2174529" "1020" "051.69" 0 294050 0 294050 202870 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:56-7 56 " "10705 NE GATEWAY PL. BEAVERTON OR, 97006" "" 3509.68 3632.55
22 "1N236DD75711" "R2175139" "1020" "051.69" 0 289470 0 289470 199610 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:57-1 57 " "10780 NE GATEWAY PL. BEAVERTON OR, 97006" "" 3453.2 3574.15
23 "1N236DD75721" "R2175140" "1020" "051.69" 0 265960 0 265960 161060 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:57-2 57 " "10784 NE GATEWAY PL. BEAVERTON OR, 97006" "" 2328.87 2883.88
24 "1N236DD75731" "R2175141" "1020" "051.69" 0 270670 0 270670 164040 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:57-3 57 " "10788 NE GATEWAY PL. BEAVERTON OR, 97006" "" 2837.93 2937.26
25 "1N236DD75741" "R2175142" "1020" "051.69" 0 294050 0 294050 202870 "VILLAS AT AUTUMN CREEK CONDO, THE SUPPLEMENTAL PLAT NO.3: ANNEXATION OF STAGE 4 Lot:57-4 57 " "10792 NE GATEWAY PL. BEAVERTON OR, 97006" "" 3509.68 3632.55
26 "1N236DD75811" "R2173527" "1020" "051.69" 0 288330 0 288330 190870 "VILLAS AT AUTUMN CREEK CONDO, THE Lot:58-1  " "342 NE EDGEWAY DR. BEAVERTON OR, 97006" "" 3302.1 3417.68
27 "1N236DD75821" "R2173528" "1020" "051.69" 0 264970 0 264970 154030 "VILLAS AT AUTUMN CREEK CONDO, THE Lot:58-2  " "346 NE EDGEWAY DR. BEAVERTON OR, 97006" "" 2664.75 2758.0
28 "1N236DD75831" "R2173529" "1020" "051.69" 0 264970 0 264970 154030 "VILLAS AT AUTUMN CREEK CONDO, THE Lot:58-3  " "352 NE EDGEWAY DR. BEAVERTON OR, 97006" "" 2664.75 2758.0
29 "1N236DD75841" "R2173530" "1020" "051.69" 0 288330 0 288330 190870 "VILLAS AT AUTUMN CREEK CONDO, THE Lot:58-4  " "358 NE EDGEWAY DR. BEAVERTON OR, 97006" "" 3302.1 3417.68
30 "1N236DD75911" "R2173531" "1020" "051.69" 0 292890 0 292890 194020 "VILLAS AT AUTUMN CREEK CONDO, THE Lot:59-1  " "318 NE EDGEWAY DR. BEAVERTON OR, 97006" "" 3356.45 3474.08
31 "1N236DD75921" "R2173532" "1020" "051.69" 0 269640 0 269640 156880 "VILLAS AT AUTUMN CREEK CONDO, THE Lot:59-2  " "324 NE EDGEWAY DR. BEAVERTON OR, 97006" "" 2714.09 2809.03
32 "1N236DD75931" "R2173533" "1020" "051.69" 0 269640 0 269640 156880 "VILLAS AT AUTUMN CREEK CONDO, THE Lot:59-3  " "326 NE EDGEWAY DR. BEAVERTON OR, 97006" "" 2714.09 2809.03
33 "1N236DD75941" "R2173534" "1020" "051.69" 0 292890 0 292890 194020 "VILLAS AT AUTUMN CREEK CONDO, THE Lot:59-4  " "338 NE EDGEWAY DR. BEAVERTON OR, 97006" "" 3356.45 3474.08
34 "1N236DD76011" "R2173535" "1020" "051.69" 0 292890 0 292890 194020 "VILLAS AT AUTUMN CREEK CONDO, THE Lot:60-1  " "302 NE EDGEWAY DR. BEAVERTON OR, 97006" "" 3356.45 3474.08
35 "1N236DD76021" "R2173536" "1020" "051.69" 0 269640 0 269640 156880 "VILLAS AT AUTUMN CREEK CONDO, THE Lot:60-2  " "306 NE EDGEWAY DR. BEAVERTON OR, 97006" "" 2714.09 2809.03
36 "1N236DD76031" "R2173537" "1020" "051.69" 0 269640 0 269640 156880 "VILLAS AT AUTUMN CREEK CONDO, THE Lot:60-3  " "310 NE EDGEWAY DR. BEAVERTON OR, 97006" "" 2714.09 2809.03
37 "1N236DD76041" "R2173538" "1020" "051.69" 0 288330 0 288330 190870 "VILLAS AT AUTUMN CREEK CONDO, THE Lot:60-4  " "314 NE EDGEWAY DR. BEAVERTON OR, 97006" "" 3302.1 3417.68
38 "1N236DD80000" "R2173621" "0000" "051.69" 0 0 0 0 0 "CARRIAGES AT AUTUMN CREEK CONDO, THE Lot:GCE  " "   . BEAVERTON OR, 97006" 5.07 0.0 0.0
